applicant_id,gpa,gre_score,research,admitted
A001,3.41,310,1,1
A002,2.86,299,1,0
A003,3.64,303,0,0
A004,2.91,318,1,0
A005,3.36,287,0,0
A006,3.32,319,1,0
A007,3.01,311,1,0
A008,3.11,322,0,0
A009,3.23,305,1,1
A010,3.38,305,1,1
A011,2.94,292,0,0
A012,2.66,301,0,0
A013,3.4,296,0,1
A014,3.43,297,1,1
A015,3.45,336,0,1
A016,3.46,314,1,1
A017,3.64,297,1,1
A018,3.28,308,1,1
A019,3.49,327,0,1
A020,3.3,314,0,0
A021,3.16,311,1,0
A022,3.23,340,0,1
A023,2.81,303,1,0
A024,2.89,268,0,0
A025,2.78,304,0,0
A026,3.63,306,0,1
A027,3.46,323,1,0
A028,3.19,318,1,0
A029,3.96,312,0,1
A030,3.29,287,0,0
A031,3.71,319,1,1
A032,3.72,319,0,1
A033,3.6,299,1,1
A034,3.19,307,1,1
A035,3.0,301,0,0
A036,3.1,282,0,0
A037,3.41,302,0,0
A038,3.49,337,0,0
A039,2.89,309,0,0
A040,3.7,337,1,1
A041,3.45,300,1,0
A042,3.25,329,0,0
A043,3.44,329,0,1
A044,3.23,325,0,0
A045,3.38,319,1,1
A046,3.06,301,0,0
A047,3.77,316,1,1
A048,2.94,308,0,1
A049,3.77,308,0,1
A050,3.28,333,0,0
A051,3.34,324,1,0
A052,3.62,340,0,1
A053,3.06,307,0,0
A054,3.68,308,0,1
A055,3.19,331,0,1
A056,3.57,304,0,0
A057,3.55,294,0,1
A058,3.9,317,1,1
A059,3.13,306,1,0
A060,2.74,299,1,0
A061,3.08,300,0,0
A062,2.93,310,1,0
A063,3.11,294,1,1
A064,3.47,314,1,1
A065,3.8,307,0,1
A066,3.53,340,0,1
A067,3.75,340,0,1
A068,3.75,298,0,1
A069,3.7,318,0,1
A070,3.67,301,0,1
A071,3.24,306,1,1
A072,3.54,291,0,0
A073,3.75,299,1,1
A074,2.92,320,0,0
A075,3.55,294,1,0
A076,3.23,334,1,1
A077,3.6,287,1,1
A078,2.98,340,0,0
A079,2.81,300,0,0
A080,3.32,301,0,0
A081,3.8,329,0,0
A082,3.79,298,0,1
A083,3.17,319,1,1
A084,3.44,318,1,1
A085,3.56,306,0,0
A086,3.74,296,1,0
A087,3.22,323,1,1
A088,2.83,297,1,0
A089,2.76,309,0,0
A090,3.27,326,0,0
A091,3.26,300,0,0
A092,2.95,305,0,0
A093,3.52,340,1,1
A094,3.19,286,1,0
A095,3.67,321,1,1
A096,2.66,313,0,1
A097,2.91,314,0,0
A098,3.08,300,1,1
A099,3.5,311,0,0
A100,2.98,340,1,1
A101,2.67,310,1,0
A102,3.54,291,0,0
A103,2.47,277,1,0
A104,3.15,287,1,0
A105,3.45,324,0,0
A106,3.17,314,0,0
A107,3.26,302,1,0
A108,3.46,320,1,1
A109,3.36,282,0,1
A110,3.2,309,1,1
A111,3.64,323,0,1
A112,2.65,297,1,0
A113,3.06,331,1,1
A114,2.8,316,0,0
A115,3.08,301,0,0
A116,3.15,327,0,0
A117,3.63,318,0,1
A118,3.4,310,1,1
A119,3.03,311,0,0
A120,2.94,319,0,0
A121,3.69,295,0,1
A122,3.1,302,0,0
A123,3.11,288,0,0
A124,2.84,326,0,0
A125,3.45,312,0,1
A126,3.21,326,1,0
A127,3.18,310,1,1
A128,3.29,323,1,1
A129,3.42,312,1,1
A130,3.05,317,0,1
A131,3.14,314,0,1
A132,3.52,316,0,1
A133,3.3,331,0,0
A134,3.11,316,1,1
A135,3.24,317,0,0
A136,3.09,336,1,0
A137,3.0,309,1,1
A138,2.75,288,0,0
A139,3.71,298,1,1
A140,3.4,326,1,0
A141,3.59,306,1,0
A142,3.25,310,0,0
A143,3.04,314,0,0
A144,3.3,310,0,0
A145,3.69,331,0,1
A146,3.34,332,0,0
A147,3.51,340,0,1
A148,3.34,291,1,1
A149,3.16,323,0,0
A150,2.74,293,1,0
A151,3.71,300,1,0
A152,3.23,312,0,0
A153,3.17,317,1,1
A154,3.07,290,1,0
A155,3.26,313,0,0
A156,3.45,330,0,0
A157,3.21,302,0,0
A158,2.93,311,1,1
A159,3.46,297,0,0
A160,3.65,313,0,1
