participant_id,mode,distance_km,sleep_hours,mood
1,walk_cycle,2.0,6.3,77
2,walk_cycle,3.1,5.4,70
3,walk_cycle,2.4,7.3,73
4,walk_cycle,2.5,5.9,66
5,walk_cycle,2.3,7.3,73
6,walk_cycle,1.0,6.1,60
7,walk_cycle,1.6,6.3,83
8,walk_cycle,0.6,6.8,59
9,walk_cycle,1.8,7.2,84
10,walk_cycle,2.2,5.6,56
11,walk_cycle,1.7,7.0,82
12,walk_cycle,2.0,6.5,73
13,walk_cycle,2.4,6.3,64
14,walk_cycle,1.5,8.3,80
15,walk_cycle,2.0,5.9,71
16,walk_cycle,3.4,6.0,68
17,walk_cycle,1.7,7.1,81
18,walk_cycle,1.7,7.6,63
19,walk_cycle,2.1,7.7,61
20,walk_cycle,3.1,6.4,80
21,walk_cycle,2.3,6.7,76
22,walk_cycle,1.6,5.4,63
23,walk_cycle,1.6,6.2,69
24,walk_cycle,2.3,7.8,80
25,walk_cycle,0.3,8.0,87
26,walk_cycle,2.1,7.6,68
27,walk_cycle,2.2,6.6,69
28,walk_cycle,2.1,7.8,81
29,walk_cycle,1.7,6.1,73
30,walk_cycle,3.5,6.4,66
31,walk_cycle,0.7,5.8,76
32,walk_cycle,2.3,7.8,71
33,walk_cycle,2.0,8.0,87
34,walk_cycle,1.7,7.0,78
35,walk_cycle,2.9,7.7,78
36,walk_cycle,2.2,5.4,68
37,walk_cycle,1.5,6.9,79
38,walk_cycle,1.3,8.0,85
39,walk_cycle,1.4,8.4,78
40,walk_cycle,1.5,6.1,77
41,walk_cycle,1.8,5.9,72
42,walk_cycle,1.0,7.9,72
43,walk_cycle,2.0,7.5,87
44,walk_cycle,3.5,8.0,66
45,walk_cycle,3.2,7.0,70
46,walk_cycle,2.2,9.3,83
47,walk_cycle,2.2,5.7,75
48,walk_cycle,3.5,7.7,69
49,walk_cycle,3.7,6.6,71
50,walk_cycle,3.2,5.8,65
51,public_transport,12.2,7.9,58
52,public_transport,7.4,6.9,68
53,public_transport,10.5,6.8,52
54,public_transport,3.4,5.5,57
55,public_transport,12.7,6.5,69
56,public_transport,6.6,4.8,58
57,public_transport,10.8,8.1,73
58,public_transport,10.6,7.8,68
59,public_transport,7.8,6.8,69
60,public_transport,6.1,7.4,67
61,public_transport,5.5,6.9,66
62,public_transport,12.9,7.6,72
63,public_transport,8.0,7.9,55
64,public_transport,6.2,4.7,62
65,public_transport,8.3,6.1,77
66,public_transport,7.8,6.8,55
67,public_transport,6.0,7.2,66
68,public_transport,6.8,7.7,72
69,public_transport,5.8,7.5,62
70,public_transport,0.3,6.5,74
71,public_transport,10.5,7.1,75
72,public_transport,0.8,6.0,60
73,public_transport,10.6,7.7,52
74,public_transport,5.6,6.6,73
75,public_transport,4.9,8.4,67
76,public_transport,4.3,7.0,73
77,public_transport,11.7,8.0,58
78,public_transport,6.9,8.0,75
79,public_transport,7.0,8.0,72
80,public_transport,10.2,6.7,62
81,public_transport,7.5,6.1,44
82,public_transport,6.8,6.7,65
83,public_transport,7.6,5.8,59
84,public_transport,5.7,7.1,66
85,public_transport,9.9,6.4,55
86,public_transport,7.2,6.1,66
87,public_transport,5.8,7.3,71
88,public_transport,4.2,6.0,64
89,public_transport,5.5,8.3,84
90,public_transport,9.4,6.5,69
91,public_transport,10.9,6.9,62
92,public_transport,7.3,5.8,53
93,public_transport,4.7,8.3,69
94,public_transport,8.3,6.8,54
95,public_transport,3.1,6.3,63
96,public_transport,11.8,6.2,62
97,public_transport,4.6,7.1,54
98,public_transport,8.7,5.5,55
99,public_transport,8.5,6.8,62
100,public_transport,6.3,7.4,63
101,car,9.1,6.4,55
102,car,12.2,7.0,54
103,car,11.0,6.9,59
104,car,12.9,7.4,66
105,car,11.5,8.0,62
106,car,5.9,8.0,70
107,car,12.6,7.9,56
108,car,13.9,7.1,64
109,car,9.7,6.7,60
110,car,10.3,7.2,64
111,car,15.1,6.7,61
112,car,1.3,7.5,70
113,car,7.1,5.3,49
114,car,10.2,7.8,74
115,car,9.6,6.3,57
116,car,9.5,7.7,58
117,car,11.9,7.6,66
118,car,11.0,8.0,71
119,car,8.8,5.3,75
120,car,13.5,6.1,69
121,car,6.1,6.6,69
122,car,11.8,6.4,57
123,car,13.1,6.6,52
124,car,10.1,6.6,68
125,car,9.2,7.7,78
126,car,10.3,7.1,61
127,car,5.1,7.3,68
128,car,10.8,5.8,60
129,car,7.8,7.0,63
130,car,2.8,6.8,70
131,car,12.2,8.4,72
132,car,5.2,8.2,69
133,car,8.6,6.8,69
134,car,14.8,7.1,69
135,car,9.1,8.0,65
136,car,10.3,5.9,62
137,car,14.5,7.3,65
138,car,9.4,8.2,68
139,car,4.7,8.1,71
140,car,2.5,5.6,75
141,car,10.0,7.9,75
142,car,11.4,6.8,51
143,car,12.6,6.8,55
144,car,9.3,6.8,65
145,car,5.6,7.9,68
146,car,17.8,6.1,51
147,car,7.7,5.8,68
148,car,8.2,6.1,65
149,car,9.2,6.4,68
150,car,12.8,8.6,71
