id,encoding,context,recall
1,shallow,same,8
2,shallow,same,17
3,shallow,same,9
4,shallow,same,9
5,shallow,same,9
6,shallow,same,8
7,shallow,same,6
8,shallow,same,11
9,shallow,same,8
10,shallow,same,6
11,shallow,same,12
12,shallow,same,15
13,shallow,same,6
14,shallow,same,9
15,shallow,same,13
16,shallow,same,9
17,shallow,same,6
18,shallow,same,8
19,shallow,same,9
20,shallow,same,10
21,shallow,same,6
22,shallow,same,16
23,shallow,same,10
24,shallow,same,3
25,shallow,same,10
26,shallow,different,7
27,shallow,different,6
28,shallow,different,2
29,shallow,different,5
30,shallow,different,9
31,shallow,different,6
32,shallow,different,14
33,shallow,different,12
34,shallow,different,6
35,shallow,different,5
36,shallow,different,6
37,shallow,different,9
38,shallow,different,7
39,shallow,different,6
40,shallow,different,13
41,shallow,different,8
42,shallow,different,5
43,shallow,different,6
44,shallow,different,10
45,shallow,different,12
46,shallow,different,11
47,shallow,different,10
48,shallow,different,10
49,shallow,different,7
50,shallow,different,13
51,deep,same,16
52,deep,same,16
53,deep,same,26
54,deep,same,19
55,deep,same,18
56,deep,same,16
57,deep,same,19
58,deep,same,18
59,deep,same,21
60,deep,same,22
61,deep,same,20
62,deep,same,16
63,deep,same,14
64,deep,same,20
65,deep,same,23
66,deep,same,20
67,deep,same,19
68,deep,same,12
69,deep,same,20
70,deep,same,19
71,deep,same,26
72,deep,same,20
73,deep,same,19
74,deep,same,16
75,deep,same,21
76,deep,different,18
77,deep,different,12
78,deep,different,13
79,deep,different,19
80,deep,different,16
81,deep,different,16
82,deep,different,13
83,deep,different,19
84,deep,different,12
85,deep,different,8
86,deep,different,16
87,deep,different,12
88,deep,different,13
89,deep,different,12
90,deep,different,16
91,deep,different,6
92,deep,different,13
93,deep,different,14
94,deep,different,18
95,deep,different,14
96,deep,different,8
97,deep,different,19
98,deep,different,18
99,deep,different,13
100,deep,different,15
