person_id,screen_hours,sleep_quality
1,4.9,5.8
2,3.8,8.3
3,3.3,3.9
4,1.4,7.6
5,3.3,7.3
6,4.9,5.1
7,1.2,7.2
8,2.8,10
9,1.6,8.2
10,0.5,4.3
11,3.0,6.9
12,5.1,4.1
13,2.6,7.2
14,2.1,5.7
15,4.6,4.2
16,4.0,1.5
17,3.6,2.8
18,3.5,6.9
19,2.6,7.4
20,4.6,7.2
21,5.0,5.5
22,5.0,9.7
23,2.4,6.9
24,1.9,5.6
25,3.9,3.7
26,4.7,5.7
27,1.8,5.9
28,5.4,4.4
29,1.7,7.1
30,5.2,3.3
31,4.3,6.9
32,2.6,6.9
33,3.6,4.3
34,4.3,5.0
35,5.5,5.7
36,2.3,9.6
37,4.7,6.3
38,4.7,7.7
39,5.0,6.3
40,2.4,7.7
41,4.8,5.1
42,2.9,5.7
43,6.5,5.0
44,4.1,5.6
45,4.8,3.6
46,5.2,4.1
47,5.5,1.6
48,3.9,7.0
49,4.0,2.2
50,4.5,6.7
51,2.2,7.1
52,1.8,7.7
53,3.4,4.8
54,2.6,4.2
55,2.7,4.4
56,3.1,8.5
57,0.5,9.4
58,4.3,6.5
59,3.9,5.0
60,11.5,8.6
