participant_id,condition,errors
1,normal_sleep,17
2,normal_sleep,13
3,normal_sleep,10
4,normal_sleep,22
5,normal_sleep,24
6,normal_sleep,29
7,normal_sleep,21
8,normal_sleep,23
9,normal_sleep,12
10,normal_sleep,16
11,normal_sleep,14
12,normal_sleep,12
13,normal_sleep,24
14,normal_sleep,17
15,normal_sleep,22
16,normal_sleep,18
17,normal_sleep,27
18,normal_sleep,23
19,normal_sleep,9
20,normal_sleep,9
21,normal_sleep,18
22,normal_sleep,18
23,normal_sleep,25
24,normal_sleep,20
25,normal_sleep,29
26,normal_sleep,26
27,normal_sleep,30
28,normal_sleep,26
29,normal_sleep,18
30,normal_sleep,25
31,normal_sleep,19
32,normal_sleep,24
33,normal_sleep,14
34,normal_sleep,22
35,normal_sleep,29
36,normal_sleep,28
37,normal_sleep,12
38,normal_sleep,18
39,normal_sleep,21
40,normal_sleep,19
41,restricted_sleep,23
42,restricted_sleep,28
43,restricted_sleep,20
44,restricted_sleep,24
45,restricted_sleep,35
46,restricted_sleep,12
47,restricted_sleep,27
48,restricted_sleep,39
49,restricted_sleep,23
50,restricted_sleep,29
51,restricted_sleep,25
52,restricted_sleep,30
53,restricted_sleep,28
54,restricted_sleep,19
55,restricted_sleep,21
56,restricted_sleep,19
57,restricted_sleep,20
58,restricted_sleep,19
59,restricted_sleep,22
60,restricted_sleep,23
61,restricted_sleep,17
62,restricted_sleep,28
63,restricted_sleep,23
64,restricted_sleep,29
65,restricted_sleep,27
66,restricted_sleep,29
67,restricted_sleep,26
68,restricted_sleep,16
69,restricted_sleep,26
70,restricted_sleep,20
71,restricted_sleep,16
72,restricted_sleep,22
73,restricted_sleep,19
74,restricted_sleep,22
75,restricted_sleep,14
76,restricted_sleep,12
77,restricted_sleep,12
78,restricted_sleep,17
79,restricted_sleep,23
80,restricted_sleep,27
