student_id,method,exam_score
1,rereading,62
2,rereading,57
3,rereading,53
4,rereading,68
5,rereading,71
6,rereading,78
7,rereading,67
8,rereading,69
9,rereading,55
10,rereading,61
11,rereading,59
12,rereading,56
13,rereading,71
14,rereading,62
15,rereading,68
16,rereading,63
17,rereading,75
18,rereading,70
19,rereading,51
20,rereading,51
21,rereading,63
22,rereading,63
23,rereading,73
24,rereading,66
25,rereading,78
26,rereading,74
27,rereading,80
28,rereading,73
29,rereading,64
30,rereading,73
31,rereading,65
32,rereading,71
33,rereading,58
34,rereading,69
35,rereading,78
36,flashcards,86
37,flashcards,60
38,flashcards,70
39,flashcards,74
40,flashcards,71
41,flashcards,73
42,flashcards,80
43,flashcards,68
44,flashcards,75
45,flashcards,92
46,flashcards,56
47,flashcards,79
48,flashcards,98
49,flashcards,72
50,flashcards,83
51,flashcards,76
52,flashcards,85
53,flashcards,80
54,flashcards,67
55,flashcards,69
56,flashcards,66
57,flashcards,69
58,flashcards,66
59,flashcards,71
60,flashcards,73
61,flashcards,64
62,flashcards,80
63,flashcards,73
64,flashcards,82
65,flashcards,80
66,flashcards,82
67,flashcards,78
68,flashcards,62
69,flashcards,77
70,flashcards,68
71,practice_testing,66
72,practice_testing,77
73,practice_testing,72
74,practice_testing,78
75,practice_testing,63
76,practice_testing,59
77,practice_testing,60
78,practice_testing,68
79,practice_testing,79
80,practice_testing,88
81,practice_testing,75
82,practice_testing,88
83,practice_testing,90
84,practice_testing,84
85,practice_testing,100
86,practice_testing,88
87,practice_testing,100
88,practice_testing,79
89,practice_testing,87
90,practice_testing,72
91,practice_testing,72
92,practice_testing,72
93,practice_testing,84
94,practice_testing,70
95,practice_testing,94
96,practice_testing,56
97,practice_testing,91
98,practice_testing,72
99,practice_testing,78
100,practice_testing,63
101,practice_testing,64
102,practice_testing,77
103,practice_testing,70
104,practice_testing,93
105,practice_testing,60
