athlete_id,group,strength_wk0,strength_wk6,strength_wk12
1,program,98.5,105.4,107.2
2,program,112.4,122.6,126.2
3,program,90.3,100.7,97.9
4,program,140,149.8,151.4
5,program,92.5,99.2,99.6
6,program,91.0,97.8,98.0
7,program,91.4,96.8,97.8
8,program,91.6,95.9,99.2
9,program,101.3,107.8,104.2
10,program,98.7,102.3,104.6
11,program,114.1,120.9,124.8
12,program,130.8,136.8,138.2
13,program,117.6,120.8,130.0
14,program,106.2,114.9,113.2
15,program,108.1,113.3,112.7
16,program,81.6,82.4,85.9
17,program,128.5,134.9,133.0
18,program,103.9,104.4,114.1
19,program,114.3,119.7,120.2
20,program,94.2,98.0,102.9
21,program,79.9,86.7,90.3
22,program,104.0,112.3,113.1
23,program,114.0,118.7,125.9
24,program,97.1,101.2,106.3
25,program,91.7,95.9,100.6
26,program,109.7,116.3,120.8
27,program,103.9,108.2,118.9
28,program,94.9,103.0,106.0
29,program,82.2,93.0,93.5
30,program,60.7,69.9,69.4
31,control,89.7,95.1,93.0
32,control,97.4,99.4,105.8
33,control,100.9,100.3,101.0
34,control,90.5,94.1,92.8
35,control,92.0,97.0,97.5
36,control,84.0,88.8,84.2
37,control,100.5,104.0,96.5
38,control,106.2,105.9,106.2
39,control,99.5,100.9,105.9
40,control,108.3,113.6,111.5
41,control,96.9,93.3,101.3
42,control,108.3,109.2,107.9
43,control,110.6,113.3,110.0
44,control,120.8,123.8,122.0
45,control,122.8,124.7,130.5
46,control,96.1,94.9,104.0
47,control,96.5,99.4,97.8
48,control,106.2,107.5,112.0
49,control,88.0,87.0,90.3
50,control,101.2,106.5,103.3
51,control,117.3,116.2,123.4
52,control,90.8,92.9,93.3
53,control,101.9,103.9,104.8
54,control,109.1,114.8,110.9
55,control,104.7,104.2,110.1
56,control,101.7,102.3,108.2
57,control,87.6,92.9,92.4
58,control,114.0,119.4,115.0
59,control,95.1,93.5,105.6
60,control,117.5,115.8,116.5
