respondent_id,q1,q2,q3,q4,q5,q6,q7,q8
1,4,3,1,,4,3,3,4
2,4,2,4,2,1,3,1,3
3,3,4,3,4,4,3,3,4
4,3,1,,,2,5,2,1
5,5,3,2,2,3,2,2,2
6,3,3,1,3,3,2,2,4
7,2,1,3,3,2,4,1,2
8,2,2,5,3,3,,1,2
9,,4,2,4,4,2,5,4
10,3,3,2,2,3,4,2,2
11,3,,2,4,2,3,4,2
12,4,3,2,4,2,3,3,3
13,3,5,2,2,5,3,4,3
14,5,,1,5,4,1,,5
15,4,5,1,5,3,1,4,5
16,3,2,2,1,3,2,2,2
17,1,1,4,1,1,5,1,1
18,5,5,2,5,5,,5,5
19,4,4,4,4,3,2,4,3
20,3,4,1,5,3,2,3,4
21,2,2,,1,1,5,3,1
22,2,,4,1,2,3,3,2
23,2,1,5,4,,3,1,3
24,1,2,5,1,1,5,2,1
25,3,1,3,,2,4,2,2
26,,1,5,2,1,3,1,1
27,2,4,3,2,4,2,2,3
28,2,4,5,3,3,4,2,3
29,3,3,3,3,4,4,2,4
30,3,2,3,,1,3,2,2
31,3,3,,3,4,3,1,4
32,5,3,3,5,3,3,2,3
33,3,5,4,3,3,4,3,2
34,3,5,2,4,4,2,2,4
35,3,,4,3,3,3,2,1
36,1,1,5,2,3,4,2,3
37,4,,1,4,3,2,5,4
38,3,4,3,4,3,4,5,2
39,,1,2,,2,5,2,2
40,4,4,3,,4,3,2,2
41,3,2,3,2,2,3,3,3
42,1,2,5,1,1,5,1,1
43,2,2,3,2,3,5,3,2
44,2,2,,3,,4,1,1
45,1,5,5,,3,3,3,2
46,3,4,2,3,4,5,2,3
47,2,2,4,1,3,3,,3
48,4,5,1,4,4,1,5,4
49,3,1,5,2,,4,1,1
50,3,1,4,2,3,4,1,
51,4,2,1,4,4,1,3,4
52,3,3,4,3,4,3,3,2
53,2,2,4,2,2,5,3,2
54,2,4,3,3,3,3,,2
55,1,2,5,3,2,3,,2
56,1,1,5,1,1,5,1,1
57,3,4,1,5,5,2,4,3
58,4,3,2,,3,2,2,4
59,3,2,4,2,3,,4,4
60,,4,3,2,3,3,4,4
61,5,5,1,5,5,,5,4
62,2,2,5,4,1,3,2,1
63,4,3,3,4,,3,3,4
64,2,2,4,2,2,4,1,2
65,1,2,,1,1,4,1,3
66,3,3,2,4,4,2,5,3
67,4,3,1,4,5,3,3,3
68,4,4,2,4,3,2,4,3
69,4,4,1,3,4,2,4,3
70,2,2,4,3,2,4,2,2
71,5,5,1,5,4,1,5,5
72,4,4,4,3,3,2,3,3
73,4,,1,5,4,1,5,5
74,5,3,2,5,4,1,4,5
75,2,3,4,1,2,5,1,2
76,1,3,3,5,3,4,3,4
77,3,3,,2,,4,3,2
78,3,3,3,2,4,1,,3
79,2,3,2,2,3,5,2,2
80,1,1,5,1,1,5,1,1
81,3,2,4,3,1,2,,3
82,2,2,3,4,3,,4,2
83,5,4,2,3,3,2,2,3
84,2,2,3,1,1,4,3,1
85,4,4,2,1,4,5,2,3
86,2,2,4,3,3,1,1,3
87,4,3,4,3,2,4,3,5
88,2,3,3,3,4,3,2,1
89,5,3,3,4,5,1,4,4
90,2,1,4,3,3,3,,2
91,1,2,5,1,1,5,1,2
92,1,2,3,3,2,2,3,2
93,3,4,1,4,4,2,3,5
94,1,1,5,1,2,5,1,1
95,1,2,4,3,,3,2,2
96,3,3,2,3,3,3,3,1
97,3,4,4,2,3,3,3,3
98,2,3,5,3,4,4,2,1
99,4,1,,3,2,,3,1
100,3,2,4,3,2,3,2,1
101,2,4,3,3,,4,3,3
102,3,4,5,4,,2,4,2
103,4,5,4,3,,3,2,3
104,5,5,1,4,4,1,5,5
105,3,5,2,2,5,2,4,3
106,5,3,4,5,3,3,2,5
107,4,5,2,3,3,3,2,3
108,4,3,3,2,4,3,3,2
109,2,1,4,4,2,4,2,1
110,3,4,2,,5,2,3,4
111,4,4,4,3,2,2,3,2
112,1,3,3,3,3,3,4,3
113,2,2,5,3,1,4,2,3
114,3,4,5,3,3,2,2,4
115,3,3,3,1,3,2,3,4
116,4,4,3,2,3,3,4,5
117,3,4,4,4,,2,4,2
118,2,2,5,1,2,5,2,2
119,4,4,3,4,4,4,3,4
120,2,,2,4,3,3,3,4
